//僸儘僀儞
0	世凪	ca
1	凛	cb
2	奥莉薇娅	cc
3	李	cd

//CASE1
10	祥子	ce
11	渡边	cf
12	秋房
91	有岛

//CASE2
20	斯宾瑟	ch
21	父亲	ci
22	马洛	cj
23	罗布	ck
24	爱德	cl
25	琪琪	cm
26	托马斯	cn
27	伊丽莎白女王	co
92	威尔	

//CASE3
30	梓姬	cp
31	父 亲	cq
32	安奈	cr
33	斯宾瑟岚山	cg
93	康奈

//CASE0
40	出云	cu
41	眠羊	cv
42	游马	cw
43	沙齐	cx
44	入麻	cy
45	母亲	cz
46	里樱	cs
47	工头	ct
48	母亲	cz
99	海斗

//棫偪奊側偟儌僽
//CASE0
//39	曗彆抂枛
49	游马研研究员
50	上层研究员
//CASE1
51	女学生
52	男学生
13	僶僀僩儕乕僟乕偺偍偠偝傫
14	品尝大妈
15	億働僢僩偑懡偄偍偠偝傫
16	鱼店老板
//CASE2
53	寑抍堳侾
54	寑抍堳俀
55	团体顾客
56	常連１
57	常連２
58	街人
59	看守１
60	看守２
63	听众１
64	听众２
65	观众１
66	观众２
67	警官
68	警长
69	看守
73	赫米娅
74	拉山德
75	海伦
76	帕克
77	哈姆雷特
78	全员

//CASE3
61	男老师
62	女学生
34	接待老伯
35	工作人员们

//崿崌榖幰柤
71	琪琪＆托马斯
72	梓姬＆康奈
17	罗布＆爱德
18	琪琪＆托马斯＆威尔
19	观众１＆观众２
28	李＆梓姬

//丠梡乮偼偰側偺屄悢暘偩偗懪偮0丆1丆2丆3乯
80	？？？？
81	？
82	？？
83	？？？

//CASE0//
100	辅助装置
101	凛（世凪）
102	奥莉薇娅（世凪）
103	李（世凪）
104	祥子（出云）
105	斯宾瑟（出云）
106	父亲（出云）
107	琪琪（出云）
108	托马斯（出云）
109	梓姬（出云）
110	父亲（出云）
111	父亲（？？？）
191	有岛（海斗）
192	僂傿儖乮奀搇乯
193	康奈（海斗）
199	海斗（影像）
